Error,ErrorShort,Description
AADSTS1000000,UserNotBoundError,"UserNotBoundError - The Bind API requires the Azure AD user to also authenticate with an external IDP, which hasn't happened yet."
AADSTS1000002,BindCompleteInterruptError,"BindCompleteInterruptError - The bind completed successfully, but the user must be informed."
AADSTS1000031,Application {appDisplayName} cannot be accessed at this time,Application {appDisplayName} cannot be accessed at this time. Contact your administrator.
AADSTS100007,AAD Regional ONLY supports auth either for MSIs OR for requests from MSAL using SN+I for 1P apps or 3P apps in Microsoft infrastructure tenants,AAD Regional ONLY supports auth either for MSIs OR for requests from MSAL using SN+I for 1P apps or 3P apps in Microsoft infrastructure tenants.
AADSTS120000,PasswordChangeIncorrectCurrentPassword,PasswordChangeIncorrectCurrentPassword
AADSTS120002,PasswordChangeInvalidNewPasswordWeak,PasswordChangeInvalidNewPasswordWeak
AADSTS120003,PasswordChangeInvalidNewPasswordContainsMemberName,PasswordChangeInvalidNewPasswordContainsMemberName
AADSTS120004,PasswordChangeOnPremComplexity,PasswordChangeOnPremComplexity
AADSTS120005,PasswordChangeOnPremSuccessCloudFail,PasswordChangeOnPremSuccessCloudFail
AADSTS120008,PasswordChangeAsyncJobStateTerminated,PasswordChangeAsyncJobStateTerminated - A non-retryable error has occurred.
AADSTS120011,PasswordChangeAsyncUpnInferenceFailed,PasswordChangeAsyncUpnInferenceFailed
AADSTS120012,PasswordChangeNeedsToHappenOnPrem,PasswordChangeNeedsToHappenOnPrem
AADSTS120013,PasswordChangeOnPremisesConnectivityFailure,PasswordChangeOnPremisesConnectivityFailure
AADSTS120014,PasswordChangeOnPremUserAccountLockedOutOrDisabled,PasswordChangeOnPremUserAccountLockedOutOrDisabled
AADSTS120015,PasswordChangeADAdminActionRequired,PasswordChangeADAdminActionRequired
AADSTS120016,PasswordChangeUserNotFoundBySspr,PasswordChangeUserNotFoundBySspr
AADSTS120018,PasswordChangePasswordDoesnotComplyFuzzyPolicy,PasswordChangePasswordDoesnotComplyFuzzyPolicy
AADSTS120020,PasswordChangeFailure,PasswordChangeFailure
AADSTS120021,PartnerServiceSsprInternalServiceError,PartnerServiceSsprInternalServiceError
AADSTS130004,NgcKeyNotFound,NgcKeyNotFound - The user principal doesn't have the NGC ID key configured.
AADSTS130005,NgcInvalidSignature,NgcInvalidSignature - NGC key signature verified failed.
AADSTS130006,NgcTransportKeyNotFound,NgcTransportKeyNotFound - The NGC transport key isn't configured on the device.
AADSTS130007,NgcDeviceIsDisabled,NgcDeviceIsDisabled - The device is disabled.
AADSTS130008,NgcDeviceIsNotFound,NgcDeviceIsNotFound - The device referenced by the NGC key wasn't found.
AADSTS135010,KeyNotFound,KeyNotFound
AADSTS135011,Device used during the authentication is disabled,Device used during the authentication is disabled.
AADSTS140000,InvalidRequestNonce,InvalidRequestNonce - Request nonce is not provided.
AADSTS140001,InvalidSessionKey,InvalidSessionKey - The session key is not valid.
AADSTS16000,SelectUserAccount,"SelectUserAccount - This is an interrupt thrown by Azure AD, which results in UI that allows the user to select from among multiple valid SSO sessions. This error is fairly common and may be returned to the application if prompt=none is specified."
AADSTS16001,UserAccountSelectionInvalid,"UserAccountSelectionInvalid - You'll see this error if the user clicks on a tile that the session select logic has rejected. When triggered, this error allows the user to recover by picking from an updated list of tiles/sessions, or by choosing another account. This error can occur because of a code defect or race condition."
AADSTS16002,AppSessionSelectionInvalid,AppSessionSelectionInvalid - The app-specified SID requirement was not met.
AADSTS16003,SsoUserAccountNotFoundInResourceTenant,SsoUserAccountNotFoundInResourceTenant - Indicates that the user hasn't been explicitly added to the tenant.
AADSTS165004,Actual message content is runtime specific,Actual message content is runtime specific. Please see returned exception message for details.
AADSTS165900,InvalidApiRequest,InvalidApiRequest - Invalid request.
AADSTS17003,CredentialKeyProvisioningFailed,CredentialKeyProvisioningFailed - Azure AD can't provision the user key.
AADSTS20001,WsFedSignInResponseError,WsFedSignInResponseError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
AADSTS20012,WsFedMessageInvalid,WsFedMessageInvalid - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
AADSTS20033,FedMetadataInvalidTenantName,FedMetadataInvalidTenantName - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
AADSTS220450,UnsupportedAndroidWebViewVersion,UnsupportedAndroidWebViewVersion - The Chrome WebView version is not supported.
AADSTS220501,InvalidCrlDownload,InvalidCrlDownload
